COMUNE,POPOLAZIONE 1/1/2019,SUPERFICIE 1/1/2019,COD_CAT,INDICE D (QUINTILI),INDICE P (QUINTILI),INDICE T (QUINTILI),INDICE DI SINTESI (QUINTILI)
Camerata Cornello,606,12.94,B,D4,P3,T4,S4
Canonica d'Adda,"4,438",3.21,Q,,,,
Capizzone,"1,241",4.68,Q,,,,
Capriate San Gervasio,"8,158",5.78,P,D2,P4,T5,S5
Caprino Bergamasco,"3,072",8.78,P,D1,P2,T2,S1
Caravaggio,"16,259",33.39,P,D1,P3,T4,S3
Carobbio degli Angeli,"4,738",6.82,P,D1,P1,T1,S1
Carona,304,44.15,E,D5,P3,T5,S5
Carvico,"4,695",4.59,P,D2,P4,T2,S3
Casazza,"4,031",7.11,P,D1,P2,T2,S1
Casirate d'Adda,"4,117",10.17,Q,,,,
Casnigo,"3,251",13.62,Q,,,,
Cassiglio,108,13.68,Q,,,,
Castelli Calepio,"10,432",10.15,P,D1,P4,T1,S2
Castel Rozzone,"2,820",1.71,Q,,,,
Castione della Presolana,"3,419",42.50,E,D5,P4,T5,S5
Castro,"1,299",2.59,D,D4,P3,T4,S4
Cavernago,"2,639",7.65,P,D2,P2,T4,S3
Cazzano Sant'Andrea,"1,661",2.02,Q,,,,
Cenate Sopra,"2,545",6.97,Q,,,,
Cenate Sotto,"3,875",4.62,Q,,,,
Cene,"4,263",8.60,P,D1,P4,T1,S2
Cerete,"1,605",14.07,Q,,,,
Chignolo d'Isola,"3,474",5.55,Q,,,,
Chiuduno,"6,108",6.88,P,D1,P1,T1,S1
Cisano Bergamasco,"6,318",7.82,P,D2,P4,T2,S2
Ciserano,"5,560",5.31,P,D1,P1,T1,S1
Cividate al Piano,"5,176",9.73,Q,,,,
Clusone,"8,607",26.19,H,D4,P3,T4,S3
Colere,"1,120",18.63,E,D5,P3,T4,S4
Cologno al Serio,"11,184",18.52,P,D3,P4,T1,S3
Colzate,"1,664",6.75,Q,,,,
Comun Nuovo,"4,419",6.45,P,D1,P4,T1,S3
Corna Imagna,925,4.50,E,D4,P2,T1,S1
Cortenuova,"1,932",7.35,Q,,,,
Costa di Mezzate,"3,391",5.22,Q,,,,
Costa Valle Imagna,576,4.21,E,D4,P3,T5,S5
Costa Volpino,"9,063",18.67,P,D2,P3,T4,S3
Covo,"4,109",12.94,Q,,,,
Credaro,"3,497",3.41,P,D1,P4,T1,S2
Curno,"7,534",4.70,P,D2,P3,T4,S3
Cusio,238,9.41,E,D3,P1,T5,S5
Dalmine,"23,610",11.81,P,D3,P5,T2,S4
Dossena,908,19.56,P,D1,P1,T1,S1
Endine Gaiano,"3,435",21.07,P,D2,P3,T1,S1
Entratico,"1,999",4.15,P,D2,P4,T2,S2
Fara Gera d'Adda,"8,024",10.79,P,D2,P4,T2,S3
Fara Olivana con Sola,"1,293",5.04,P,D2,P3,T2,S2
Filago,"3,132",5.42,P,D2,P4,T1,S2
Fino del Monte,"1,130",4.29,E,D4,P1,T4,S3
Fiorano al Serio,"2,987",1.06,Q,,,,
Fontanella,"4,492",17.80,Q,,,,
Fonteno,587,10.93,L,D4,P3,T4,S4
Foppolo,186,16.14,E,D5,P5,T5,S5
Foresto Sparso,"3,119",7.87,P,D1,P1,T1,S1
Fornovo San Giovanni,"3,436",7.04,Q,,,,
Fuipiano Valle Imagna,210,4.28,E,D4,P5,T5,S5
Gandellino,992,25.13,P,D1,P1,T4,S2
Gandino,"5,386",29.03,P,D1,P2,T1,S1
Gandosso,"1,457",3.13,P,D3,P2,T2,S2
Gaverina Terme,855,5.20,P,D2,P1,T1,S1
Gazzaniga,"5,018",14.41,P,D1,P4,T2,S3
Ghisalba,"6,173",10.59,P,D1,P4,T1,S2
Gorlago,"5,172",5.70,Q,,,,
Gorle,"6,519",2.52,P,D1,P3,T1,S2
Gorno,"1,554",10.00,Q,,,,
Grassobbio,"6,460",8.74,P,D4,P5,T4,S5
Gromo,"1,201",20.07,H,D4,P4,T5,S5
Grone,912,7.78,P,D3,P2,T5,S4
Grumello del Monte,"7,411",9.94,P,D4,P5,T2,S3
Isola di Fondra,173,12.83,E,D5,P4,T5,S5
Isso,654,5.06,Q,,,,
Lallio,"4,082",2.16,P,D4,P5,T2,S4
Leffe,"4,421",6.69,P,D1,P4,T1,S2
Lenna,598,12.74,P,D3,P4,T2,S3
Levate,"3,765",5.53,P,D1,P2,T1,S1
Locatello,812,3.79,Q,,,,
Lovere,"5,193",7.92,L,D5,P5,T4,S4
Lurano,"2,847",4.05,Q,,,,
Luzzana,896,3.48,Q,,,,
Madone,"4,002",3.07,Q,,,,
Mapello,"6,825",8.66,P,D4,P4,T2,S3
Martinengo,"10,647",22.05,P,D1,P4,T4,S3
Mezzoldo,161,18.84,E,D5,P5,T5,S5
Misano di Gera d'Adda,"2,991",6.11,P,D3,P5,T4,S4
Moio de' Calvi,205,6.36,E,D4,P2,T1,S1
Monasterolo del Castello,"1,148",8.75,P,D3,P2,T5,S4
Montello,"3,288",1.82,Q,,,,
Morengo,"2,527",9.57,Q,,,,
Mornico al Serio,"2,960",6.92,Q,,,,
Mozzanica,"4,533",9.46,P,D1,P3,T1,S2
Mozzo,"7,470",3.64,P,D4,P5,T4,S5
Nembro,"11,526",15.23,P,D2,P5,T2,S4
Olmo al Brembo,497,7.90,Q,,,,
Oltre il Colle,"1,008",32.89,E,D5,P2,T4,S4
Oltressenda Alta,148,17.33,E,D3,P2,T1,S1
Oneta,588,18.66,P,D2,P1,T5,S4
Onore,908,11.78,E,D5,P2,T2,S3
Orio al Serio,"1,746",3.04,P,D5,P5,T5,S5
Ornica,148,15.10,E,D4,P2,T4,S4
Osio Sopra,"5,300",5.18,P,D1,P2,T1,S1
Osio Sotto,"12,555",7.59,P,D4,P5,T2,S4
Pagazzano,"2,097",5.23,Q,,,,
Paladina,"4,063",2.09,P,D2,P3,T4,S3
Palazzago,"4,488",13.96,P,D3,P3,T2,S2
Palosco,"5,756",10.79,P,D1,P5,T4,S4
Parre,"2,725",22.28,P,D2,P2,T1,S1
Parzanica,352,9.82,P,D2,P1,T2,S1
Pedrengo,"6,022",3.60,Q,,,,
Peia,"1,792",4.48,Q,,,,
Pianico,"1,436",2.70,P,D2,P1,T4,S1
Piario,"1,065",1.55,P,D2,P2,T1,S1
Piazza Brembana,"1,205",6.77,P,D1,P3,T4,S3
Piazzatorre,387,24.24,E,D5,P3,T5,S5
Piazzolo,88,4.15,E,D4,P1,T5,S2
Pognano,"1,610",3.29,Q,,,,
Ponte Nossa,"1,800",5.59,Q,,,,
Ponteranica,"6,821",8.48,P,D2,P3,T4,S3
Ponte San Pietro,"11,579",4.59,P,D4,P5,T2,S4
Pontida,"3,377",10.38,P,D2,P2,T4,S2
Pontirolo Nuovo,"4,999",11.10,P,D1,P5,T1,S3
Pradalunga,"4,630",8.20,Q,,,,
Predore,"1,857",10.96,D,D5,P4,T4,S4
Premolo,"1,112",17.62,P,D3,P1,T1,S1
Presezzo,"4,943",2.28,P,D4,P5,T4,S4
Pumenengo,"1,722",10.12,Q,,,,
Ranica,"5,956",4.06,P,D3,P3,T4,S3
Ranzanico,"1,229",7.21,P,D5,P2,T4,S4
Riva di Solto,922,8.52,D,D5,P4,T5,S5
Rogno,"3,866",15.81,Q,,,,
Romano di Lombardia,"20,625",19.38,P,D2,P4,T2,S3
Roncobello,429,25.39,E,D4,P3,T5,S5
Roncola,767,5.07,E,D4,P3,T5,S5
Rota d'Imagna,914,6.03,E,D5,P5,T4,S5
Rovetta,"4,171",24.53,P,D1,P2,T4,S2
San Giovanni Bianco,"4,765",31.03,P,D2,P3,T2,S2
San Paolo d'Argon,"5,824",5.25,P,D3,P5,T4,S5
San Pellegrino Terme,"4,806",22.95,F,D4,P5,T4,S4
Santa Brigida,542,13.80,E,D2,P2,T5,S4
Sarnico,"6,756",6.66,L,D4,P5,T4,S4
Scanzorosciate,"10,011",10.69,P,D2,P4,T2,S3
Schilpario,"1,157",63.97,E,D5,P3,T4,S4
Sedrina,"2,493",5.85,P,D1,P2,T1,S1
Selvino,"2,035",6.53,E,D4,P4,T4,S4
Seriate,"25,385",12.53,P,D2,P4,T2,S3
Serina,"2,066",27.34,E,D4,P1,T4,S2
Solto Collina,"1,794",11.76,P,D1,P2,T2,S1
Songavazzo,722,12.94,Q,,,,
Sorisole,"9,139",12.25,P,D2,P4,T2,S3
Sotto il Monte Giovanni XXIII,"4,516",5.02,P,D2,P2,T2,S2
Sovere,"5,324",18.02,P,D1,P1,T2,S1
Spinone al Lago,"1,010",1.97,P,D4,P1,T4,S3
Spirano,"5,802",9.61,Q,,,,
Stezzano,"13,234",9.37,P,D4,P5,T2,S4
Strozza,"1,068",3.83,Q,,,,
Suisio,"3,816",4.54,Q,,,,
Taleggio,545,47.13,E,D4,P3,T2,S3
Tavernola Bergamasca,"2,026",11.17,P,D2,P2,T4,S3
Telgate,"5,068",8.30,P,D1,P5,T1,S3
Terno d'Isola,"8,062",4.13,Q,,,,
Torre Boldone,"8,777",3.48,P,D2,P2,T4,S3
Torre de' Busi,"2,126",8.97,Q,,,,
Torre de' Roveri,"2,478",2.69,P,D2,P2,T4,S2
Torre Pallavicina,"1,082",10.62,P,D2,P1,T1,S1
Trescore Balneario,"9,765",13.51,F,D3,P4,T4,S4
Treviglio,"30,092",32.22,P,D2,P5,T4,S4
Treviolo,"10,890",8.49,P,D3,P5,T2,S4
Ubiale Clanezzo,"1,384",7.35,P,D1,P3,T4,S3
Urgnano,"9,984",14.78,P,D2,P5,T2,S3
Valbondione,"1,032",96.89,E,D5,P5,T5,S5
Valbrembo,"4,319",3.80,P,D2,P4,T5,S5
Valgoglio,601,31.89,E,D3,P3,T4,S3
Valleve,134,14.76,E,D4,P3,T5,S5
Valnegra,212,2.23,Q,,,,
Valtorta,267,30.90,E,D5,P2,T5,S5
Vedeseta,207,19.29,E,D4,P1,T5,S4
Verdellino,"7,563",3.82,P,D4,P5,T1,S4
Verdello,"8,070",7.34,P,D3,P4,T1,S3
Vertova,"4,587",15.69,Q,,,,
Viadanica,"1,137",5.45,Q,,,,
Vigano San Martino,"1,354",3.76,P,D2,P3,T4,S3
Vigolo,580,12.31,Q,,,,
Villa d'Adda,"4,687",5.98,P,D1,P2,T4,S2
Villa d'Almè,"6,667",6.49,P,D3,P4,T4,S4
Villa di Serio,"6,780",4.60,P,D1,P4,T2,S3
Villa d'Ogna,"1,849",5.16,Q,,,,
Villongo,"8,188",6.04,P,D2,P4,T2,S3
Vilminore di Scalve,"1,458",41.00,E,D3,P2,T4,S2
Zandobbio,"2,760",6.43,P,D1,P3,T2,S2
Zanica,"8,739",14.95,P,D2,P4,T4,S3
Zogno,"8,883",35.21,P,D1,P4,T4,S3
Costa Serina,900,12.30,P,D3,P2,T2,S2
Algua,668,8.32,P,D1,P3,T4,S3
Cornalba,300,9.25,Q,,,,
Medolago,"2,415",3.80,P,D4,P5,T2,S4
Solza,"2,039",1.23,Q,,,,
Sant'Omobono Terme,"3,891",16.43,F,D3,P4,T2,S3
Val Brembilla,"4,293",31.44,P,D1,P1,T1,S1
Acquafredda,"1,528",9.55,Q,,,,
Adro,"7,188",14.29,P,D2,P3,T2,S2
Agnosine,"1,687",13.55,Q,,,,
Alfianello,"2,450",13.75,Q,,,,
Anfo,487,23.83,D,D5,P3,T5,S5
Angolo Terme,"2,362",30.56,F,D4,P2,T4,S2
Artogne,"3,609",21.02,P,D2,P2,T2,S2
Azzano Mella,"3,394",10.57,Q,,,,
Bagnolo Mella,"12,637",31.35,P,D1,P3,T2,S2
Bagolino,"3,845",109.20,L,D5,P2,T4,S4
Barbariga,"2,304",11.34,Q,,,,
Barghe,"1,176",5.49,P,D2,P4,T1,S3
Bassano Bresciano,"2,328",9.42,P,D2,P5,T1,S3
Bedizzole,"12,369",26.44,P,D2,P4,T2,S3
Berlingo,"2,782",4.59,Q,,,,
Berzo Demo,"1,615",15.46,P,D2,P2,T2,S1
Berzo Inferiore,"2,489",21.91,Q,,,,
Bienno,"3,804",46.81,B,D2,P3,T2,S2
Bione,"1,362",17.29,Q,,,,
Borgo San Giacomo,"5,402",29.53,P,D1,P1,T4,S1
Borgosatollo,"9,277",8.42,Q,,,,
Borno,"2,598",30.50,E,D5,P2,T4,S5
Botticino,"10,857",18.48,Q,,,,
Bovegno,"2,128",47.99,P,D1,P1,T1,S1
Bovezzo,"7,532",6.41,P,D1,P2,T4,S2
Brandico,"1,707",8.38,Q,,,,
Braone,693,13.36,Q,,,,
Breno,"4,815",59.93,P,D4,P3,T4,S3
Brescia,"198,536",90.33,B,D5,P5,T4,S5
Brione,721,6.90,P,D1,P2,T5,S4
Caino,"2,131",17.31,Q,,,,
Calcinato,"12,993",33.30,P,D3,P5,T2,S4
Calvagese della Riviera,"3,543",11.74,D,D4,P4,T4,S4
Calvisano,"8,497",44.83,P,D1,P1,T2,S1
Capo di Ponte,"2,448",18.11,B,D3,P4,T5,S4
Capovalle,353,22.95,P,D2,P1,T4,S1
Capriano del Colle,"4,656",13.97,Q,,,,
Capriolo,"9,472",10.60,D,D3,P5,T1,S3
Carpenedolo,"13,096",29.84,P,D1,P5,T2,S4
Castegnato,"8,532",9.20,P,D1,P5,T1,S3
Castelcovati,"6,578",6.14,Q,,,,
Castel Mella,"10,989",7.53,P,D1,P4,T2,S3
Castenedolo,"11,496",26.20,P,D4,P5,T1,S4
Casto,"1,693",21.34,P,D2,P4,T1,S2
Castrezzato,"7,352",13.63,P,D1,P3,T4,S2
Cazzago San Martino,"10,961",22.34,P,D3,P5,T1,S3
Cedegolo,"1,150",11.08,Q,,,,
Cellatica,"4,881",6.55,Q,,,,
Cerveno,669,21.55,P,D3,P1,T1,S1
Ceto,"1,864",32.30,B,D4,P2,T4,S2
Cevo,857,35.47,E,D5,P1,T5,S4
Chiari,"19,094",37.96,P,D1,P4,T2,S3
Cigole,"1,557",9.93,P,D1,P1,T1,S1
Cimbergo,540,24.71,H,D4,P2,T1,S1
Cividate Camuno,"2,742",3.31,Q,,,,
Coccaglio,"8,664",12.05,P,D4,P5,T4,S4
Collebeato,"4,643",5.27,Q,,,,
Collio,"2,066",53.47,E,D3,P3,T4,S3
Cologne,"7,564",13.79,P,D2,P4,T1,S2
Comezzano-Cizzago,"4,000",15.44,Q,,,,
Concesio,"15,697",19.07,P,D1,P2,T2,S2
Corte Franca,"7,156",13.97,D,D4,P4,T4,S4
Corteno Golgi,"1,953",82.60,E,D5,P4,T4,S5
Corzano,"1,423",12.30,P,D1,P4,T1,S3
Darfo Boario Terme,"15,691",36.07,F,D4,P5,T4,S4
Dello,"5,622",23.32,P,D1,P3,T2,S2
Desenzano del Garda,"29,158",59.26,L,D5,P5,T5,S5
Edolo,"4,525",88.90,E,D4,P2,T4,S3
Erbusco,"8,694",16.24,P,D4,P5,T4,S4
Esine,"5,225",30.31,P,D1,P2,T4,S2
Fiesse,"2,055",16.02,Q,,,,
Flero,"8,921",9.84,P,D1,P3,T1,S2
Gambara,"4,677",31.59,P,D3,P3,T1,S2
Gardone Riviera,"2,653",21.39,L,D5,P5,T5,S5
Gardone Val Trompia,"11,509",26.66,P,D1,P2,T4,S3
Gargnano,"2,823",76.75,D,D5,P5,T5,S5
Gavardo,"12,280",29.80,P,D2,P2,T1,S1
Ghedi,"18,669",60.84,P,D1,P4,T2,S3
Gianico,"2,132",13.38,Q,,,,
Gottolengo,"5,151",29.28,Q,,,,
Gussago,"16,739",25.09,P,D1,P3,T4,S3
Idro,"1,862",22.89,D,D5,P5,T5,S5
Incudine,368,19.67,P,D1,P1,T1,S1
Irma,128,4.93,Q,,,,
Iseo,"9,168",28.42,D,D5,P5,T5,S5
Isorella,"4,106",15.33,P,D1,P1,T1,S1
Lavenone,516,31.82,P,D2,P2,T1,S1
Leno,"14,249",58.45,P,D1,P5,T2,S3
Limone sul Garda,"1,160",23.03,D,D5,P5,T5,S5
Lodrino,"1,673",16.50,P,D1,P1,T4,S2
Lograto,"3,794",12.43,P,D1,P1,T1,S1
Lonato del Garda,"16,725",68.20,L,D4,P5,T4,S4
Longhena,571,3.47,Q,,,,
Losine,609,6.26,Q,,,,
Lozio,405,23.74,E,D3,P2,T5,S4
Lumezzane,"22,130",31.72,P,D1,P1,T1,S1
Maclodio,"1,472",5.10,Q,,,,
Magasa,123,19.11,P,D4,P1,T5,S3
Mairano,"3,495",11.53,Q,,,,
Malegno,"1,993",6.89,Q,,,,
Malonno,"3,150",31.46,P,D1,P3,T2,S2
Manerba del Garda,"5,370",36.63,D,D5,P5,T5,S5
Manerbio,"13,161",27.88,P,D1,P2,T1,S1
Marcheno,"4,289",22.74,P,D1,P4,T4,S3
Marmentino,659,18.03,P,D1,P1,T1,S1
Marone,"3,165",23.93,D,D5,P3,T2,S3
Mazzano,"12,440",15.73,P,D2,P2,T1,S1
Milzano,"1,747",8.49,Q,,,,
Moniga del Garda,"2,596",14.65,D,D5,P5,T5,S5
Monno,535,31.03,E,D4,P3,T5,S5
Monte Isola,"1,709",12.61,L,D4,P2,T5,S5
Monticelli Brusati,"4,546",10.89,P,D2,P1,T2,S1
Montichiari,"25,902",81.66,B,D3,P5,T2,S4
Montirone,"5,147",10.52,Q,,,,
Mura,774,12.51,P,D2,P1,T1,S1
Muscoline,"2,679",10.08,P,D2,P2,T1,S1
Nave,"10,790",27.21,Q,,,,
Niardo,"2,027",22.16,P,D2,P1,T1,S1
Nuvolento,"3,994",7.46,P,D1,P2,T1,S1
Nuvolera,"4,781",13.31,P,D1,P4,T2,S3
Odolo,"1,916",6.54,P,D2,P3,T4,S3
Offlaga,"4,061",23.03,Q,,,,
Ome,"3,220",9.85,P,D4,P3,T2,S3
Ono San Pietro,963,13.78,P,D3,P1,T4,S2
Orzinuovi,"12,520",47.87,P,D1,P2,T4,S2
Orzivecchi,"2,456",9.94,P,D3,P5,T1,S4
Ospitaletto,"14,774",9.29,Q,,,,
Ossimo,"1,444",14.86,P,D1,P1,T4,S1
Padenghe sul Garda,"4,684",26.81,D,D5,P5,T5,S5
Paderno Franciacorta,"3,660",5.61,P,D3,P3,T2,S2
Paisco Loveno,185,35.87,E,D4,P1,T5,S4
Paitone,"2,125",8.00,P,D2,P4,T2,S3
Palazzolo sull'Oglio,"20,104",23.04,P,D2,P5,T2,S4
Paratico,"4,832",6.18,D,D4,P5,T4,S4
Paspardo,602,11.15,Q,,,,
Passirano,"7,068",13.39,P,D2,P4,T2,S2
Pavone del Mella,"2,770",11.61,Q,,,,
San Paolo,"4,505",18.82,P,D3,P4,T4,S4
Pertica Alta,543,20.92,P,D3,P1,T4,S2
Pertica Bassa,609,30.13,D,D3,P1,T5,S5
Pezzaze,"1,492",21.49,Q,,,,
Pian Camuno,"4,741",10.95,P,D1,P4,T1,S2
Pisogne,"7,963",49.23,D,D4,P3,T4,S3
Polaveno,"2,510",9.20,P,D1,P2,T1,S1
Polpenazze del Garda,"2,706",9.12,D,D4,P2,T2,S2
Pompiano,"3,760",15.27,Q,,,,
Poncarale,"5,211",12.64,P,D1,P2,T1,S1
Ponte di Legno,"1,761",100.43,H,D5,P5,T5,S5
Pontevico,"7,138",29.21,P,D2,P5,T1,S3
Pontoglio,"6,880",11.09,Q,,,,
Pozzolengo,"3,523",21.33,D,D5,P5,T4,S5
Pralboino,"2,923",17.16,Q,,,,
Preseglie,"1,533",11.45,Q,,,,
Prevalle,"6,950",9.99,P,D1,P2,T1,S1
Provaglio d'Iseo,"7,369",16.16,P,D3,P2,T1,S1
Provaglio Val Sabbia,915,14.85,P,D1,P1,T1,S1
Puegnago sul Garda,"3,458",10.97,D,D4,P3,T4,S4
Quinzano d'Oglio,"6,295",21.45,Q,,,,
Remedello,"3,382",21.46,Q,,,,
Rezzato,"13,551",18.21,P,D3,P5,T4,S5
Roccafranca,"4,739",19.13,Q,,,,
Rodengo Saiano,"9,776",12.86,P,D4,P5,T2,S4
Roè Volciano,"4,515",5.82,D,D3,P3,T4,S3
Roncadelle,"9,453",9.39,P,D4,P5,T4,S4
Rovato,"19,320",26.09,P,D1,P3,T2,S2
Rudiano,"5,810",9.85,P,D1,P2,T1,S1
Sabbio Chiese,"3,951",18.45,P,D1,P1,T1,S1
Sale Marasino,"3,347",16.59,D,D4,P3,T4,S3
Salò,"10,521",27.30,L,D5,P5,T5,S5
San Felice del Benaco,"3,427",20.22,D,D5,P5,T5,S5
San Gervasio Bresciano,"2,628",10.50,Q,,,,
San Zeno Naviglio,"4,763",6.25,Q,,,,
Sarezzo,"13,289",17.68,P,D1,P1,T1,S1
Saviore dell'Adamello,867,84.27,P,D5,P1,T5,S4
Sellero,"1,430",14.47,P,D1,P1,T1,S1
Seniga,"1,419",13.57,Q,,,,
Serle,"3,038",18.43,P,D1,P1,T4,S2
Sirmione,"8,254",26.25,L,D5,P5,T5,S5
Soiano del Lago,"1,888",5.77,D,D5,P4,T4,S5
Sonico,"1,259",60.89,E,D4,P1,T4,S2
Sulzano,"1,943",10.44,D,D5,P4,T4,S4
Tavernole sul Mella,"1,251",19.81,P,D3,P2,T2,S2
Temù,"1,110",43.26,H,D5,P5,T5,S5
Tignale,"1,227",45.86,L,D5,P5,T5,S5
Torbole Casaglia,"6,535",13.44,P,D1,P5,T1,S3
Toscolano-Maderno,"7,881",58.17,L,D5,P5,T5,S5
Travagliato,"13,986",17.74,P,D1,P5,T2,S3
Tremosine sul Garda,"2,103",72.68,L,D5,P5,T5,S5
Trenzano,"5,448",20.10,P,D1,P4,T1,S2
Treviso Bresciano,519,17.73,L,D3,P2,T4,S3
Urago d'Oglio,"3,751",10.68,Q,,,,
Vallio Terme,"1,441",14.86,F,D3,P2,T4,S3
Valvestino,179,31.12,L,D3,P1,T4,S2
Verolanuova,"8,190",25.76,P,D1,P3,T1,S2
Verolavecchia,"3,758",21.06,Q,,,,
Vestone,"4,316",12.96,P,D1,P4,T1,S2
Vezza d'Oglio,"1,444",54.15,H,D4,P3,T4,S4
Villa Carcina,"10,792",14.22,Q,,,,
Villachiara,"1,416",16.87,Q,,,,
Villanuova sul Clisi,"5,812",9.10,P,D1,P3,T4,S2
Vione,667,35.26,H,D3,P3,T4,S3
Visano,"1,978",11.22,Q,,,,
Vobarno,"8,142",53.22,P,D1,P2,T1,S1
Zone,"1,049",19.68,L,D5,P3,T4,S4
Piancogno,"4,696",14.30,P,D3,P3,T4,S3
Alagna,836,8.34,Q,,,,
Albaredo Arnaboldi,233,8.76,Q,,,,
Albonese,530,4.33,Q,,,,
Albuzzano,"3,564",15.45,Q,,,,
Arena Po,"1,556",22.49,Q,,,,
Badia Pavese,359,5.06,P,D2,P1,T2,S1
Bagnaria,661,16.66,P,D1,P2,T5,S4
Barbianello,847,11.71,Q,,,,
Bascapè,"1,719",13.34,P,D2,P1,T5,S4
Bastida Pancarana,993,12.50,P,D1,P2,T1,S1
Battuda,661,7.14,Q,,,,
Belgioioso,"6,209",24.69,P,D1,P3,T4,S2
Bereguardo,"2,664",17.86,P,D2,P5,T4,S4
Borgarello,"2,704",4.84,P,D2,P3,T4,S3
Borgo Priolo,"1,458",28.81,P,D4,P4,T4,S4
Borgoratto Mormorolo,417,16.10,P,D3,P3,T5,S4
Borgo San Siro,975,17.64,Q,,,,
Bornasco,"2,711",12.93,Q,,,,
Bosnasco,619,4.84,P,D3,P1,T2,S1
Brallo di Pregola,553,46.14,E,D5,P4,T4,S5
Breme,748,18.81,P,D1,P1,T4,S2
Bressana Bottarone,"3,474",12.69,P,D1,P2,T4,S2
Broni,"9,603",20.85,P,D3,P4,T2,S3
Calvignano,111,6.98,P,D4,P4,T5,S5
Campospinoso,"1,095",3.69,Q,,,,
Candia Lomellina,"1,556",27.90,Q,,,,
Canneto Pavese,"1,379",5.81,P,D3,P3,T4,S4
Carbonara al Ticino,"1,459",14.78,P,D1,P5,T4,S4
Casanova Lonati,437,4.63,Q,,,,
Casatisma,881,5.48,P,D2,P3,T1,S1
Casei Gerola,"2,485",24.81,P,D3,P4,T1,S3
Casorate Primo,"8,779",9.74,P,D1,P1,T1,S1
Cassolnovo,"6,934",31.74,Q,,,,
Castana,746,5.28,P,D3,P3,T5,S4
Casteggio,"6,738",17.66,P,D2,P3,T1,S1
Castelletto di Branduzzo,"1,067",11.77,P,D3,P5,T1,S3
Castello d'Agogna,"1,145",10.74,P,D2,P4,T1,S3
Castelnovetto,563,18.21,Q,,,,
Cava Manara,"6,750",17.26,P,D3,P5,T2,S4
Cecima,227,10.12,P,D4,P1,T5,S5
Ceranova,"2,239",4.60,Q,,,,
Ceretto Lomellina,188,7.38,Q,,,,
Cergnago,722,13.56,P,D2,P1,T4,S2
Certosa di Pavia,"5,544",10.86,B,D3,P5,T4,S4
Cervesina,"1,218",12.41,P,D4,P4,T4,S4
Chignolo Po,"3,970",23.39,P,D1,P2,T1,S1
Cigognola,"1,307",7.88,P,D2,P2,T1,S1
Cilavegna,"5,475",18.05,Q,,,,
Codevilla,979,12.96,P,D3,P2,T1,S1
Confienza,"1,599",26.81,Q,,,,
Copiano,"1,679",4.34,Q,,,,
Corana,810,12.87,Q,,,,
Corvino San Quirico,"1,022",4.37,P,D3,P4,T5,S4
Costa de' Nobili,396,11.82,Q,,,,
Cozzo,372,17.61,Q,,,,
Cura Carpignano,"4,939",11.09,Q,,,,
Dorno,"4,632",30.57,P,D1,P1,T2,S1
Ferrera Erbognone,"1,109",19.17,P,D1,P3,T4,S3
Filighera,825,8.25,Q,,,,
Fortunago,360,17.82,B,D4,P3,T5,S5
Frascarolo,"1,177",24.18,P,D1,P2,T1,S1
Galliavola,195,9.23,Q,,,,
Gambarana,202,11.78,Q,,,,
Gambolò,"9,896",51.70,P,D2,P3,T4,S2
Garlasco,"9,784",39.18,P,D3,P3,T4,S3
Gerenzago,"1,416",5.41,Q,,,,
Giussago,"5,304",24.72,P,D1,P4,T4,S3
Godiasco Salice Terme,"3,299",20.61,F,D4,P4,T4,S4
Golferenzo,193,4.42,P,D3,P2,T5,S4
Gravellona Lomellina,"2,740",20.34,Q,,,,
Gropello Cairoli,"4,454",26.22,P,D3,P5,T4,S4
Inverno e Monteleone,"1,490",9.64,Q,,,,
Landriano,"6,417",15.59,P,D1,P4,T2,S2
Langosco,368,15.82,Q,,,,
Lardirago,"1,143",5.34,Q,,,,
Linarolo,"2,833",13.17,P,D1,P2,T1,S1
Lirio,130,1.75,Q,,,,
Lomello,"2,131",22.36,P,D2,P1,T1,S1
Lungavilla,"2,451",6.82,P,D1,P2,T1,S1
Magherno,"1,705",5.25,Q,,,,
Marcignago,"2,501",10.12,Q,,,,
Marzano,"1,668",9.29,Q,,,,
Mede,"6,524",32.89,P,D1,P4,T2,S3
Menconico,358,28.14,E,D4,P2,T5,S5
Mezzana Bigli,"1,077",19.02,P,D1,P4,T4,S3
Mezzana Rabattone,479,7.06,Q,,,,
Mezzanino,"1,351",12.51,P,D2,P3,T2,S2
Miradolo Terme,"3,733",9.56,P,D1,P4,T4,S3
Montalto Pavese,896,19.07,P,D3,P2,T4,S4
Montebello della Battaglia,"1,563",15.74,P,D4,P3,T5,S4
Montecalvo Versiggia,532,11.40,P,D4,P2,T4,S3
Montescano,424,2.40,Q,,,,
Montesegale,279,14.97,P,D1,P1,T4,S1
Monticelli Pavese,732,20.19,Q,,,,
Montù Beccaria,"1,638",15.49,P,D1,P3,T4,S2
Mornico Losana,612,8.30,P,D1,P2,T4,S2
Mortara,"15,407",51.97,P,D2,P3,T2,S3
Nicorvo,294,8.08,Q,,,,
Olevano di Lomellina,710,15.38,Q,,,,
Oliva Gessi,162,3.91,P,D3,P1,T1,S1
Ottobiano,"1,106",24.98,P,D1,P2,T2,S2
Palestro,"1,897",18.81,P,D1,P3,T1,S1
Pancarana,300,6.10,Q,,,,
Parona,"1,905",9.30,P,D2,P4,T2,S2
