COMUNE,POPOLAZIONE 1/1/2019,SUPERFICIE 1/1/2019,COD_CAT,INDICE D (QUINTILI),INDICE P (QUINTILI),INDICE T (QUINTILI),INDICE DI SINTESI (QUINTILI)
Terdobbiate,470,8.46,Q,,,,
Tornaco,932,13.24,P,D2,P2,T4,S2
Trecate,"20,715",38.22,P,D1,P5,T2,S5
Vaprio d'Agogna,992,10.01,P,D3,P3,T1,S2
Varallo Pombia,"4,914",13.61,P,D4,P5,T2,S4
Vespolate,"2,053",17.78,Q,,,,
Vicolungo,876,13.29,P,D2,P4,T4,S4
Vinzaglio,561,15.46,P,D2,P5,T2,S4
Gattico-Veruno,"5,263",26.16,D,D2,P4,T2,S3
Acceglio,158,151.53,E,D5,P4,T5,S5
Aisone,220,36.92,E,D5,P2,T4,S4
Alba,"31,506",53.59,B,D5,P5,T4,S4
Albaretto della Torre,224,4.59,E,D4,P5,T5,S5
Alto,130,7.46,Q,,,,
Argentera,77,76.26,E,D5,P5,T5,S5
Arguello,199,4.92,Q,,,,
Bagnasco,"1,020",30.95,P,D2,P1,T5,S4
Bagnolo Piemonte,"5,953",63.25,P,D2,P3,T2,S2
Baldissero d'Alba,"1,060",15.33,P,D2,P2,T1,S1
Barbaresco,630,7.76,B,D4,P5,T5,S5
Barge,"7,616",81.99,P,D3,P4,T1,S2
Barolo,690,5.69,B,D5,P5,T5,S5
Bastia Mondovì,667,12.00,P,D5,P3,T2,S4
Battifollo,212,11.12,P,D5,P1,T1,S1
Beinette,"3,448",17.69,P,D1,P3,T4,S2
Bellino,104,62.07,E,D5,P1,T5,S5
Belvedere Langhe,368,5.00,E,D3,P2,T1,S1
Bene Vagienna,"3,665",48.97,B,D3,P4,T5,S5
Benevello,476,5.44,E,D5,P5,T5,S5
Bergolo,56,3.11,H,D4,P5,T5,S5
Bernezzo,"4,156",25.84,P,D1,P2,T4,S3
Bonvicino,98,7.24,P,D5,P3,T4,S4
Borgomale,385,8.48,P,D4,P5,T5,S5
